ESIID,USAGE_DATE,REVISION_DATE,START_READING,END_READING,USAGE_KWH
'10443720000724329,10/01/2020,10/02/2020 07:35:54,12475.963,12488.711,12.743
'10443720000724329,10/02/2020,10/03/2020 07:44:44,12488.711,12500.242,11.531
'10443720000724329,10/03/2020,10/04/2020 11:32:23,12500.242,12517.242,17.034
'10443720000724329,10/04/2020,10/05/2020 07:42:16,12517.242,12535.721,18.439
'10443720000724329,10/05/2020,10/06/2020 07:42:54,12535.721,12547.919,12.203
'10443720000724329,10/06/2020,10/07/2020 07:42:58,12547.919,12565.103,17.182
'10443720000724329,10/07/2020,10/08/2020 07:38:07,12565.103,12584.809,19.706
'10443720000724329,10/08/2020,10/09/2020 07:45:09,12584.809,12621.904,37.09
'10443720000724329,10/09/2020,10/10/2020 07:36:36,12621.904,12658.296,36.395
'10443720000724329,10/10/2020,10/11/2020 11:44:14,12658.296,12691.547,33.247
'10443720000724329,10/11/2020,10/12/2020 07:35:51,12691.547,12730.036,38.49
'10443720000724329,10/12/2020,10/13/2020 07:37:48,12730.036,12759.325,29.291
'10443720000724329,10/13/2020,10/14/2020 07:37:18,12759.325,12785.28,25.956
'10443720000724329,10/14/2020,10/16/2020 07:36:08,12785.28,12815.664,30.382
'10443720000724329,10/15/2020,10/16/2020 07:34:26,12815.664,12838.427,22.767
'10443720000724329,10/16/2020,10/17/2020 08:40:19,12838.427,12852.732,14.302
'10443720000724329,10/17/2020,10/18/2020 09:14:59,12852.732,12866.978,14.25
'10443720000724329,10/18/2020,10/19/2020 07:42:31,12866.978,12879.146,12.163
'10443720000724329,10/19/2020,10/20/2020 07:44:54,12879.146,12886.805,7.662
'10443720000724329,10/20/2020,10/21/2020 07:47:21,12886.805,12894.096,7.29
'10443720000724329,10/21/2020,10/22/2020 07:39:47,12894.096,12907.222,13.121
'10443720000724329,10/22/2020,10/23/2020 07:47:20,12907.222,12922.045,14.825
'10443720000724329,10/23/2020,10/24/2020 07:46:46,12922.045,12939.304,17.259
'10443720000724329,10/24/2020,10/25/2020 11:45:56,12939.304,12961.816,22.512
'10443720000724329,10/25/2020,10/26/2020 07:46:31,12961.816,12981.455,19.636
'10443720000724329,10/26/2020,10/27/2020 07:51:03,12981.455,13008.116,26.661
'10443720000724329,10/27/2020,10/28/2020 07:52:47,13008.116,13043.509,35.393
'10443720000724329,10/28/2020,10/29/2020 07:38:56,13043.509,13078.217,34.707
'10443720000724329,10/29/2020,10/30/2020 09:10:31,13078.217,13109.9,31.679
'10443720000724329,10/30/2020,10/31/2020 10:44:12,13109.9,13132.31,22.412
'10443720000724329,10/31/2020,11/01/2020 11:08:48,13132.31,13153.207,20.897
'10443720000724329,11/01/2020,11/02/2020 10:47:50,13153.207,13172.544,19.335
'10443720000724329,11/02/2020,11/03/2020 09:44:05,13172.544,13189.415,16.873
'10443720000724329,11/03/2020,11/04/2020 07:51:49,13189.415,13205.978,16.566
'10443720000724329,11/04/2020,11/05/2020 07:48:18,13205.978,13219.908,13.932
'10443720000724329,11/05/2020,11/06/2020 07:46:07,13219.908,13232.138,12.228
'10443720000724329,11/06/2020,11/07/2020 07:43:05,13232.138,13242.222,10.083
'10443720000724329,11/07/2020,11/08/2020 15:45:31,13242.222,13252.544,10.324
'10443720000724329,11/08/2020,11/09/2020 07:36:52,13252.544,13268.698,16.159
'10443720000724329,11/09/2020,11/10/2020 07:58:53,13268.698,13280.134,11.436
'10443720000724329,11/10/2020,11/11/2020 07:47:34,13280.134,13290.73,10.597
'10443720000724329,11/11/2020,11/12/2020 07:49:00,13290.73,13304.593,13.864
'10443720000724329,11/12/2020,11/13/2020 07:52:24,13304.593,13318.29,13.698
'10443720000724329,11/13/2020,11/14/2020 07:46:19,13318.29,13329.754,11.463
'10443720000724329,11/14/2020,11/15/2020 11:03:44,13329.754,13343.383,13.628
'10443720000724329,11/15/2020,11/16/2020 07:41:04,13343.383,13364.983,21.598
'10443720000724329,11/16/2020,11/17/2020 07:48:26,13364.983,13383.016,18.035
'10443720000724329,11/17/2020,11/18/2020 07:39:37,13383.016,13406.278,23.257
'10443720000724329,11/18/2020,11/19/2020 07:42:45,13406.278,13418.658,12.38
'10443720000724329,11/19/2020,11/20/2020 08:40:30,13418.658,13435.027,16.365
'10443720000724329,11/20/2020,11/21/2020 07:36:33,13435.027,13446.683,11.654
'10443720000724329,11/21/2020,11/22/2020 17:19:52,13446.683,13458.39,11.71
'10443720000724329,11/22/2020,11/23/2020 07:51:53,13458.39,13476.572,18.183
'10443720000724329,11/23/2020,11/24/2020 07:55:58,13476.572,13498.232,21.657
'10443720000724329,11/24/2020,11/25/2020 07:53:40,13498.232,13513.662,15.429
'10443720000724329,11/25/2020,11/26/2020 07:55:30,13513.662,13533.448,19.787
'10443720000724329,11/26/2020,11/27/2020 07:56:09,13533.448,13556.294,22.852
'10443720000724329,11/27/2020,11/28/2020 07:55:01,13556.294,13572.484,16.19
'10443720000724329,11/28/2020,11/29/2020 12:02:23,13572.484,13597.676,25.196
'10443720000724329,11/29/2020,11/30/2020 08:01:38,13597.676,13629.678,31.998
'10443720000724329,11/30/2020,12/01/2020 08:03:40,13629.678,13675.186,45.506
'10443720000724329,12/01/2020,12/02/2020 07:47:29,13675.186,13728.198,53.018
'10443720000724329,12/02/2020,12/03/2020 09:25:56,13728.198,13762.115,33.916
'10443720000724329,12/03/2020,12/04/2020 07:40:39,13762.115,13800.641,38.526
'10443720000724329,12/04/2020,12/05/2020 07:40:19,13800.641,13852.726,52.085
'10443720000724329,12/05/2020,12/06/2020 11:38:01,13852.726,13878.656,25.932
'10443720000724329,12/06/2020,12/07/2020 07:39:19,13878.656,13898.254,19.599
'10443720000724329,12/07/2020,12/08/2020 07:41:40,13898.254,13919.28,21.026
'10443720000724329,12/08/2020,12/09/2020 07:39:54,13919.28,13940.986,21.704
'10443720000724329,12/09/2020,12/10/2020 07:39:02,13940.986,13959.336,18.352
'10443720000724329,12/10/2020,12/11/2020 07:44:39,13959.336,13975.733,16.4
'10443720000724329,12/11/2020,12/12/2020 07:37:40,13975.733,13988.088,12.354
'10443720000724329,12/12/2020,12/14/2020 10:50:13,13988.088,14014.336,26.25
'10443720000724329,12/13/2020,12/14/2020 10:48:42,14014.336,14051.645,37.309
'10443720000724329,12/14/2020,12/15/2020 07:48:50,14051.645,14085.971,34.327
'10443720000724329,12/15/2020,12/16/2020 07:49:48,14085.971,14125.201,39.231
'10443720000724329,12/16/2020,12/17/2020 07:40:33,14125.201,14171.53,46.327
'10443720000724329,12/17/2020,12/18/2020 07:39:50,14171.53,14206.855,35.328
'10443720000724329,12/18/2020,12/19/2020 07:40:31,14206.855,14231.339,24.485
'10443720000724329,12/19/2020,12/20/2020 12:00:04,14231.339,14252.083,20.74
'10443720000724329,12/20/2020,12/21/2020 07:34:20,14252.083,14274.38,22.298
'10443720000724329,12/21/2020,12/22/2020 07:35:42,14274.38,14295.912,21.534
'10443720000724329,12/22/2020,12/24/2020 07:38:12,14295.912,14313.57,17.658
'10443720000724329,12/23/2020,12/24/2020 07:36:25,14313.57,14343.21,29.639
'10443720000724329,12/24/2020,12/25/2020 07:36:02,14343.21,14385.716,42.506
'10443720000724329,12/25/2020,12/26/2020 07:39:46,14385.716,14421.904,36.183
'10443720000724329,12/26/2020,12/27/2020 11:40:21,14421.904,14449.68,27.778
'10443720000724329,12/27/2020,12/28/2020 07:37:41,14449.68,14466.376,16.7
'10443720000724329,12/28/2020,12/29/2020 07:42:35,14466.376,14478.34,11.962
'10443720000724329,12/29/2020,12/30/2020 07:40:53,14478.34,14486.028,7.684
'10443720000724329,12/30/2020,12/31/2020 07:40:03,14486.028,14508.946,22.915
'10443720000724329,12/31/2020,01/01/2021 07:42:07,14508.946,14556.8,47.85
'10443720000724329,01/01/2021,01/02/2021 07:39:48,14556.8,14610.119,53.317
'10443720000724329,01/02/2021,01/03/2021 12:55:09,14610.119,14647.119,37.474
'10443720000724329,01/03/2021,01/04/2021 08:13:02,14647.119,14676.07,28.474
'10443720000724329,01/04/2021,01/05/2021 11:02:34,14676.07,14698.986,22.918
'10443720000724329,01/05/2021,01/06/2021 08:12:58,14698.986,14718.906,19.918
